file_path,label
n02085620_10074.jpg,n02085620
n02085620_10131.jpg,n02085620
n02085620_10621.jpg,n02085620
n02085620_1073.jpg,n02085620
n02085620_10976.jpg,n02085620
n02085620_11140.jpg,n02085620
n02085620_11238.jpg,n02085620
n02085620_11258.jpg,n02085620
n02085620_11337.jpg,n02085620
n02085620_11477.jpg,n02085620
n02085620_1152.jpg,n02085620
n02085620_11696.jpg,n02085620
n02085620_11818.jpg,n02085620
n02085620_11948.jpg,n02085620
n02085620_1205.jpg,n02085620
n02085620_12101.jpg,n02085620
n02085620_12334.jpg,n02085620
n02085620_1235.jpg,n02085620
n02085620_1271.jpg,n02085620
n02085620_12718.jpg,n02085620
n02085620_1298.jpg,n02085620
n02085620_13151.jpg,n02085620
n02085620_1321.jpg,n02085620
n02085620_13383.jpg,n02085620
n02085620_1346.jpg,n02085620
n02085620_13964.jpg,n02085620
n02085620_14252.jpg,n02085620
n02085620_14413.jpg,n02085620
n02085620_14516.jpg,n02085620
n02085620_1455.jpg,n02085620
n02085620_1492.jpg,n02085620
n02085620_1502.jpg,n02085620
n02085620_1558.jpg,n02085620
n02085620_1569.jpg,n02085620
n02085620_1617.jpg,n02085620
n02085620_1620.jpg,n02085620
n02085620_1765.jpg,n02085620
n02085620_1816.jpg,n02085620
n02085620_1862.jpg,n02085620
n02085620_1916.jpg,n02085620
n02085620_199.jpg,n02085620
n02085620_2053.jpg,n02085620
n02085620_2188.jpg,n02085620
n02085620_2204.jpg,n02085620
n02085620_2208.jpg,n02085620
n02085620_242.jpg,n02085620
n02085620_2479.jpg,n02085620
n02085620_2507.jpg,n02085620
n02085620_2517.jpg,n02085620
n02085620_2590.jpg,n02085620
n02085620_2614.jpg,n02085620
n02085620_2650.jpg,n02085620
n02085620_2693.jpg,n02085620
n02085620_2706.jpg,n02085620
n02085620_275.jpg,n02085620
n02085620_2793.jpg,n02085620
n02085620_2815.jpg,n02085620
n02085620_2887.jpg,n02085620
n02085620_2903.jpg,n02085620
n02085620_2921.jpg,n02085620
n02085620_2937.jpg,n02085620
n02085620_2973.jpg,n02085620
n02085620_2981.jpg,n02085620
n02085620_3006.jpg,n02085620
n02085620_3033.jpg,n02085620
n02085620_3045.jpg,n02085620
n02085620_3093.jpg,n02085620
n02085620_3110.jpg,n02085620
n02085620_3208.jpg,n02085620
n02085620_326.jpg,n02085620
n02085620_3402.jpg,n02085620
n02085620_3407.jpg,n02085620
n02085620_3409.jpg,n02085620
n02085620_3423.jpg,n02085620
n02085620_3485.jpg,n02085620
n02085620_3488.jpg,n02085620
n02085620_3593.jpg,n02085620
n02085620_3651.jpg,n02085620
n02085620_3677.jpg,n02085620
n02085620_368.jpg,n02085620
n02085620_3681.jpg,n02085620
n02085620_3742.jpg,n02085620
n02085620_3763.jpg,n02085620
n02085620_382.jpg,n02085620
n02085620_3826.jpg,n02085620
n02085620_3838.jpg,n02085620
n02085620_3875.jpg,n02085620
n02085620_3877.jpg,n02085620
n02085620_3880.jpg,n02085620
n02085620_3928.jpg,n02085620
n02085620_3942.jpg,n02085620
n02085620_3975.jpg,n02085620
n02085620_4016.jpg,n02085620
n02085620_4159.jpg,n02085620
n02085620_4207.jpg,n02085620
n02085620_4266.jpg,n02085620
n02085620_4290.jpg,n02085620
n02085620_431.jpg,n02085620
n02085620_4441.jpg,n02085620
n02085620_4515.jpg,n02085620
n02085620_4572.jpg,n02085620
n02085620_4602.jpg,n02085620
n02085620_4673.jpg,n02085620
n02085620_4700.jpg,n02085620
n02085620_473.jpg,n02085620
n02085620_477.jpg,n02085620
n02085620_4814.jpg,n02085620
n02085620_4875.jpg,n02085620
n02085620_4919.jpg,n02085620
n02085620_4951.jpg,n02085620
n02085620_4980.jpg,n02085620
n02085620_4998.jpg,n02085620
n02085620_500.jpg,n02085620
n02085620_5093.jpg,n02085620
n02085620_5312.jpg,n02085620
n02085620_5496.jpg,n02085620
n02085620_5661.jpg,n02085620
n02085620_5713.jpg,n02085620
n02085620_574.jpg,n02085620
n02085620_575.jpg,n02085620
n02085620_5771.jpg,n02085620
n02085620_588.jpg,n02085620
n02085620_5927.jpg,n02085620
n02085620_6295.jpg,n02085620
n02085620_6399.jpg,n02085620
n02085620_6931.jpg,n02085620
n02085620_7.jpg,n02085620
n02085620_712.jpg,n02085620
n02085620_7292.jpg,n02085620
n02085620_730.jpg,n02085620
n02085620_735.jpg,n02085620
n02085620_7436.jpg,n02085620
n02085620_7440.jpg,n02085620
n02085620_7613.jpg,n02085620
n02085620_7700.jpg,n02085620
n02085620_7738.jpg,n02085620
n02085620_806.jpg,n02085620
n02085620_8420.jpg,n02085620
n02085620_8491.jpg,n02085620
n02085620_8558.jpg,n02085620
n02085620_8578.jpg,n02085620
n02085620_8585.jpg,n02085620
n02085620_8611.jpg,n02085620
n02085620_8636.jpg,n02085620
n02085620_8637.jpg,n02085620
n02085620_9351.jpg,n02085620
n02085620_9357.jpg,n02085620
n02085620_9399.jpg,n02085620
n02085620_9414.jpg,n02085620
n02085620_949.jpg,n02085620
n02085620_952.jpg,n02085620
n02085620_9654.jpg,n02085620
